Application_order,Course,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Gender,Scholarship_holder,Age_at_enrollment,Unemployment_rate,Inflation_rate,GDP,Status,Total_enrolled_grade,Total_enrolled_units,Total_approved_units,Total_evaluation_units
2,Nursing,135.0,19,1,5,4,127.3,Yes,Female,No,18,15.5,2.8,-4.06,Graduate,27.85125,15,15,16
1,Equinculture,137.0,3,19,3,5,136.3,Yes,Female,No,20,10.8,1.4,1.74,Graduate,24.75,10,8,16
1,Basic Education,140.0,19,19,7,7,124.6,Yes,Female,No,18,16.2,0.3,-0.92,Enrolled,25.166666669999998,14,12,15
3,Animation and Multimedia Design,122.0,1,1,9,8,120.3,No,Female,Yes,21,11.1,0.6,2.02,Graduate,0.0,0,0,0
4,Oral Hygiene,127.0,1,38,4,7,121.8,Yes,Female,No,20,12.7,3.7,-1.7,Enrolled,22.8625,15,15,23
4,Nursing,142.0,19,19,1,1,125.5,Yes,Female,No,18,12.7,3.7,-1.7,Graduate,25.71428572,16,14,24
4,Advertising and Marketing Management,125.0,1,38,4,7,114.9,Yes,Female,Yes,19,11.1,0.6,2.02,Graduate,25.66071429,12,12,15
1,Nursing,126.0,19,19,3,7,123.9,No,Female,No,19,11.1,0.6,2.02,Graduate,27.41095238,15,13,17
1,Social Service,151.0,19,38,9,9,157.0,Yes,Female,Yes,18,7.6,2.6,0.32,Enrolled,22.6,12,9,20
2,Social Service,115.0,19,38,7,8,116.4,Yes,Female,No,21,16.2,0.3,-0.92,Graduate,24.66071429,12,12,18
1,Veterinary Nursing,138.0,19,19,3,3,131.0,Yes,Female,No,18,9.4,-0.8,-3.12,Enrolled,25.666666669999998,10,9,16
1,Management,135.0,19,1,9,9,122.1,Yes,Female,No,20,16.2,0.3,-0.92,Graduate,24.333333330000002,10,10,12
2,Nursing,127.0,3,3,1,10,118.8,Yes,Male,No,19,16.2,0.3,-0.92,Enrolled,26.65,14,12,16
1,Agronomy,150.0,4,5,4,2,150.0,No,Male,No,21,16.2,0.3,-0.92,Enrolled,22.428571429999998,12,10,32
1,Communication Design,125.0,42,3,125,124,130.0,Yes,Male,No,20,8.9,1.4,3.51,Graduate,26.23333333,12,10,16
1,Management,143.0,1,1,4,6,138.8,No,Male,No,18,8.9,1.4,3.51,Enrolled,24.833333330000002,10,5,17
1,Social Service (evening attendance),138.0,19,1,9,5,134.5,Yes,Female,No,19,12.4,0.5,1.79,Graduate,27.041666669999998,12,12,14
1,Management (evening attendance),130.0,2,37,3,9,131.4,No,Male,No,34,13.9,-0.3,0.79,Graduate,25.82857143,10,10,15
1,Biofuel Production Technologies,130.0,38,37,9,6,102.5,No,Male,No,37,8.9,1.4,3.51,Dropout,10.0,14,1,14
1,Informatics Engineering,133.1,34,37,0,0,128.8,Yes,Male,No,43,7.6,2.6,0.32,Dropout,0.0,10,0,0
1,Management,140.0,37,37,6,6,122.9,No,Female,No,55,16.2,0.3,-0.92,Dropout,22.0,10,3,18
1,Management (evening attendance),120.0,19,19,9,3,113.9,Yes,Female,No,39,7.6,2.6,0.32,Graduate,22.6,10,10,13
1,Equinculture,120.0,4,4,3,6,120.0,No,Female,No,20,12.4,0.5,1.79,Dropout,23.666666669999998,12,6,24
5,Journalism and Communication,126.0,3,3,2,2,121.1,No,Female,No,18,12.7,3.7,-1.7,Dropout,12.75,11,4,11
2,Management,133.0,3,19,2,7,120.4,Yes,Female,No,22,8.9,1.4,3.51,Graduate,30.6,10,10,10
6,Nursing,103.0,1,3,2,2,100.6,Yes,Female,No,22,11.1,0.6,2.02,Graduate,28.27085714,15,12,18
1,Journalism and Communication,120.0,1,38,5,5,121.4,No,Female,No,20,12.4,0.5,1.79,Dropout,26.8,12,9,14
1,Management (evening attendance),133.1,37,37,9,9,109.7,No,Female,No,29,16.2,0.3,-0.92,Dropout,0.0,10,0,0
1,Management (evening attendance),154.0,38,38,4,5,134.1,No,Female,No,24,7.6,2.6,0.32,Enrolled,25.833333330000002,10,5,20
2,Social Service,130.0,19,19,9,9,127.6,Yes,Female,No,18,11.1,0.6,2.02,Graduate,24.86666667,12,11,14
6,Nursing,132.0,37,19,7,7,132.4,Yes,Female,Yes,22,11.1,0.6,2.02,Graduate,27.288095239999997,15,13,17
1,Social Service (evening attendance),130.0,1,19,9,9,133.4,No,Female,Yes,21,12.4,0.5,1.79,Graduate,24.78571429,12,12,13
1,Social Service,139.0,37,38,9,9,126.1,No,Female,Yes,19,12.7,3.7,-1.7,Graduate,25.16666666,12,11,14
1,Tourism,130.0,19,38,9,7,113.5,No,Female,Yes,24,12.4,0.5,1.79,Graduate,27.83333334,12,12,12
1,Nursing,139.0,37,38,6,6,121.3,Yes,Female,Yes,19,9.4,-0.8,-3.12,Enrolled,23.66666666,16,12,20
1,Journalism and Communication,127.0,1,19,7,7,121.8,Yes,Female,Yes,20,9.4,-0.8,-3.12,Enrolled,25.0,12,7,23
3,Equinculture,167.0,37,37,90,90,159.3,No,Female,No,19,7.6,2.6,0.32,Graduate,30.514285710000003,10,10,12
1,Management (evening attendance),130.0,38,38,9,9,120.0,No,Female,No,27,9.4,-0.8,-3.12,Dropout,21.6,10,10,22
1,Nursing,130.0,1,19,5,5,129.1,Yes,Female,No,18,15.5,2.8,-4.06,Graduate,26.63944444,15,15,19
1,Tourism,130.0,1,3,4,3,130.0,No,Female,No,39,12.4,0.5,1.79,Dropout,0.0,12,0,16
1,Equinculture,129.0,3,3,2,2,155.3,Yes,Female,No,27,12.4,0.5,1.79,Dropout,25.9,17,15,22
1,Nursing,141.0,38,38,7,10,139.8,Yes,Female,No,18,9.4,-0.8,-3.12,Graduate,29.87,16,16,16
3,Animation and Multimedia Design,125.0,38,37,4,9,115.2,Yes,Female,No,18,7.6,2.6,0.32,Enrolled,0.0,0,0,0
2,Nursing,125.0,19,19,9,9,114.9,No,Female,No,18,16.2,0.3,-0.92,Graduate,25.3547619,15,13,20
1,Social Service,130.0,19,1,9,9,131.9,No,Female,Yes,21,13.9,-0.3,0.79,Graduate,24.0,12,12,14
3,Animation and Multimedia Design,133.0,1,37,4,7,126.0,Yes,Male,Yes,19,10.8,1.4,1.74,Enrolled,0.0,0,0,0
1,Communication Design,127.0,1,1,3,4,130.2,Yes,Male,No,19,10.8,1.4,1.74,Enrolled,21.4,12,6,14
1,Communication Design,116.0,1,1,3,3,120.9,No,Male,No,24,12.7,3.7,-1.7,Enrolled,0.0,12,0,12
1,Nursing,133.1,1,1,5,5,126.0,Yes,Male,No,29,13.9,-0.3,0.79,Dropout,22.9,15,10,20
3,Animation and Multimedia Design,139.0,19,19,5,3,128.2,Yes,Male,Yes,19,10.8,1.4,1.74,Graduate,0.0,0,0,0
1,Agronomy,130.0,19,37,9,9,130.0,Yes,Male,No,23,8.9,1.4,3.51,Graduate,25.0,12,12,15
3,Management,125.0,1,38,7,7,120.1,No,Male,No,19,16.2,0.3,-0.92,Dropout,21.95,10,9,18
1,Tourism,160.0,19,37,7,10,100.0,No,Male,No,26,12.7,3.7,-1.7,Enrolled,22.8,12,11,15
1,Management,148.0,38,37,5,5,134.0,No,Male,No,18,7.6,2.6,0.32,Enrolled,0.0,10,0,14
1,Nursing,150.0,37,19,8,4,130.8,No,Male,No,24,13.9,-0.3,0.79,Graduate,25.725,15,15,16
1,Animation and Multimedia Design,141.0,19,19,5,10,135.8,Yes,Male,No,19,15.5,2.8,-4.06,Dropout,0.0,0,0,0
4,Tourism,118.0,38,37,5,7,111.7,Yes,Male,No,18,12.4,0.5,1.79,Dropout,23.666666669999998,12,4,24
2,Journalism and Communication,142.0,38,38,9,9,132.9,Yes,Male,No,18,10.8,1.4,1.74,Graduate,24.66666666,12,9,19
3,Management,120.0,19,19,4,7,115.5,Yes,Male,No,18,10.8,1.4,1.74,Dropout,21.19047619,10,6,19
4,Tourism,106.0,19,37,7,7,106.0,Yes,Male,Yes,21,9.4,-0.8,-3.12,Dropout,21.5,12,5,19
4,Journalism and Communication,121.0,1,19,9,8,120.3,Yes,Male,Yes,19,8.9,1.4,3.51,Graduate,27.0,12,12,12
4,Nursing,150.0,38,37,9,9,130.8,No,Male,Yes,22,16.2,0.3,-0.92,Graduate,29.8984127,15,15,16
1,Social Service (evening attendance),120.0,37,37,9,6,117.0,No,Male,No,33,10.8,1.4,1.74,Graduate,23.666666669999998,12,12,14
6,Basic Education,114.0,19,19,9,9,110.2,Yes,Male,No,20,10.8,1.4,1.74,Dropout,24.4,12,10,15
1,Management (evening attendance),140.0,3,3,2,2,155.7,Yes,Male,No,35,10.8,1.4,1.74,Dropout,0.0,6,0,1
1,Agronomy,160.0,3,3,4,2,180.4,No,Male,No,24,12.4,0.5,1.79,Dropout,25.466666670000002,24,16,31
1,Tourism,120.0,19,19,4,4,125.5,No,Male,No,18,12.7,3.7,-1.7,Enrolled,23.333333330000002,10,8,14
1,Social Service (evening attendance),130.0,37,37,9,6,110.0,Yes,Female,No,33,9.4,-0.8,-3.12,Graduate,22.0,12,11,18
1,Nursing,160.0,37,38,9,7,161.0,Yes,Female,Yes,22,10.8,1.4,1.74,Graduate,26.16,16,14,16
1,Advertising and Marketing Management,120.0,1,19,4,5,100.0,No,Female,Yes,25,9.4,-0.8,-3.12,Graduate,22.1,10,9,14
1,Communication Design,124.0,19,38,4,0,117.6,Yes,Male,No,20,7.6,2.6,0.32,Graduate,21.86666667,12,11,15
6,Management,143.0,38,37,9,9,128.7,Yes,Male,No,23,11.1,0.6,2.02,Enrolled,27.8,10,9,11
2,Informatics Engineering,115.0,38,19,9,6,112.2,Yes,Male,No,18,15.5,2.8,-4.06,Enrolled,10.0,10,2,18
1,Nursing,133.1,1,1,4,10,100.8,No,Male,No,24,13.9,-0.3,0.79,Dropout,0.0,14,0,25
2,Journalism and Communication,133.1,19,1,9,9,105.0,Yes,Female,No,21,8.9,1.4,3.51,Graduate,27.5,12,12,12
1,Equinculture,133.1,1,1,4,4,100.0,No,Female,No,26,8.9,1.4,3.51,Dropout,12.0,12,2,13
1,Basic Education,133.1,37,34,0,0,115.5,No,Female,No,39,7.6,2.6,0.32,Dropout,12.66666667,12,3,26
1,Social Service (evening attendance),133.1,37,19,9,9,114.0,No,Female,No,44,12.7,3.7,-1.7,Graduate,24.208333330000002,14,14,18
1,Informatics Engineering,130.0,38,3,9,2,137.0,Yes,Male,No,19,13.9,-0.3,0.79,Enrolled,27.25,10,8,20
5,Journalism and Communication,135.0,37,1,5,5,124.9,Yes,Female,No,18,8.9,1.4,3.51,Graduate,27.0,12,12,12
5,Nursing,132.0,37,37,7,7,120.3,Yes,Female,Yes,18,12.4,0.5,1.79,Graduate,28.22777778,15,15,16
1,Veterinary Nursing,135.0,1,2,9,1,134.3,Yes,Female,No,19,12.7,3.7,-1.7,Enrolled,28.0,10,10,14
4,Nursing,115.0,3,3,2,2,111.5,Yes,Female,No,19,13.9,-0.3,0.79,Dropout,11.96,14,4,17
1,Veterinary Nursing,130.0,38,38,9,9,128.8,No,Female,No,21,8.9,1.4,3.51,Dropout,26.275,19,13,26
4,Animation and Multimedia Design,133.1,1,1,9,10,110.0,Yes,Female,No,20,16.2,0.3,-0.92,Graduate,0.0,0,0,0
1,Social Service (evening attendance),130.0,37,37,6,5,113.5,Yes,Female,No,36,9.4,-0.8,-3.12,Dropout,0.0,12,0,0
1,Agronomy,133.1,37,37,9,6,160.0,No,Female,No,43,15.5,2.8,-4.06,Graduate,28.862348179999998,31,31,33
1,Basic Education,123.0,19,19,9,7,117.4,Yes,Female,No,19,11.1,0.6,2.02,Dropout,0.0,12,0,0
1,Communication Design,130.0,3,1,2,8,122.2,No,Female,No,20,11.1,0.6,2.02,Graduate,25.27272727,21,21,23
2,Social Service,122.0,37,38,4,7,118.2,Yes,Female,No,19,16.2,0.3,-0.92,Dropout,0.0,12,0,0
1,Veterinary Nursing,113.0,1,1,4,4,106.7,Yes,Female,No,20,15.5,2.8,-4.06,Dropout,27.45,12,8,32
5,Nursing,111.0,3,4,4,3,108.2,Yes,Female,No,20,12.4,0.5,1.79,Dropout,25.56666667,14,11,19
2,Basic Education,133.1,19,1,9,3,107.0,Yes,Female,No,20,16.2,0.3,-0.92,Enrolled,24.666666669999998,14,9,22
1,Social Service,142.0,37,37,6,7,136.1,Yes,Female,No,18,13.9,-0.3,0.79,Graduate,28.85714286,12,12,14
2,Management,123.0,1,38,4,7,115.3,Yes,Female,Yes,18,8.9,1.4,3.51,Enrolled,24.0,10,6,20
1,Veterinary Nursing,131.0,19,19,9,9,139.8,Yes,Female,No,19,10.8,1.4,1.74,Graduate,26.200000000000003,10,10,11
3,Journalism and Communication,158.0,1,38,4,7,157.0,Yes,Female,No,18,10.8,1.4,1.74,Graduate,25.23809524,12,12,13
2,Nursing,122.0,37,37,9,9,131.0,Yes,Female,No,18,7.6,2.6,0.32,Dropout,25.03333334,14,12,14
1,Nursing,130.0,38,38,9,5,100.0,No,Female,No,20,13.9,-0.3,0.79,Enrolled,24.61666667,14,13,18
1,Social Service,154.0,19,37,9,7,140.4,Yes,Female,Yes,20,7.6,2.6,0.32,Enrolled,20.75,12,6,25
1,Management,120.0,19,19,3,3,113.4,No,Female,No,20,12.4,0.5,1.79,Enrolled,21.0,10,6,21
2,Veterinary Nursing,140.0,37,38,9,7,137.0,No,Female,No,18,9.4,-0.8,-3.12,Graduate,24.542857140000002,10,10,18
1,Management,127.0,2,19,4,5,121.8,No,Female,No,18,11.1,0.6,2.02,Graduate,26.6,10,10,10
1,Tourism,133.1,1,1,4,5,131.0,Yes,Female,No,21,9.4,-0.8,-3.12,Dropout,22.0,12,5,24
2,Management,120.0,19,19,9,7,118.6,Yes,Female,No,19,16.2,0.3,-0.92,Graduate,22.05,10,9,17
1,Animation and Multimedia Design,137.0,3,19,2,9,122.3,No,Female,No,19,10.8,1.4,1.74,Dropout,0.0,0,0,0
1,Advertising and Marketing Management,131.0,38,38,9,9,127.9,No,Female,Yes,19,9.4,-0.8,-3.12,Graduate,27.0,10,10,10
1,Veterinary Nursing,130.0,19,38,4,7,121.3,Yes,Female,No,19,15.5,2.8,-4.06,Graduate,26.36666667,12,12,28
6,Oral Hygiene,122.0,1,1,4,5,117.1,Yes,Female,No,19,13.9,-0.3,0.79,Dropout,12.1,14,5,12
1,Veterinary Nursing,160.0,37,37,9,9,160.0,Yes,Female,No,20,12.4,0.5,1.79,Graduate,27.94444445,12,11,24
1,Basic Education,146.0,19,38,9,3,145.3,Yes,Female,Yes,18,9.4,-0.8,-3.12,Enrolled,26.200000000000003,12,10,15
3,Social Service,131.0,1,39,5,3,122.6,Yes,Female,No,18,12.4,0.5,1.79,Graduate,26.666666669999998,12,12,13
6,Nursing,132.0,1,37,8,9,128.0,Yes,Female,No,19,12.4,0.5,1.79,Graduate,28.478253969999997,15,15,16
3,Nursing,138.0,19,19,5,8,124.9,Yes,Female,Yes,18,13.9,-0.3,0.79,Dropout,26.980357140000002,15,14,18
2,Communication Design,130.0,37,37,9,9,123.7,Yes,Female,No,18,7.6,2.6,0.32,Graduate,25.333333330000002,12,12,12
4,Management,126.0,1,19,4,8,120.1,Yes,Female,No,19,8.9,1.4,3.51,Graduate,27.0,10,10,12
6,Nursing,148.0,1,19,3,3,131.7,Yes,Female,No,19,13.9,-0.3,0.79,Dropout,14.0,14,5,15
1,Social Service,130.0,38,37,9,7,133.2,No,Female,No,20,7.6,2.6,0.32,Graduate,23.38095238,16,16,23
1,Advertising and Marketing Management,117.0,1,38,3,9,109.3,No,Female,Yes,19,12.4,0.5,1.79,Dropout,24.5,12,9,16
1,Advertising and Marketing Management,120.0,19,19,5,5,113.0,Yes,Female,No,20,7.6,2.6,0.32,Graduate,23.7,10,8,12
1,Journalism and Communication,153.0,1,1,141,175,157.9,No,Female,Yes,18,8.9,1.4,3.51,Graduate,29.66666666,12,12,12
2,Nursing,117.0,19,1,4,7,112.1,No,Female,Yes,20,11.1,0.6,2.02,Enrolled,26.08085714,15,12,18
1,Nursing,178.0,19,1,4,8,174.7,No,Female,No,18,13.9,-0.3,0.79,Graduate,34.7125,15,15,16
5,Nursing,129.0,37,37,9,9,128.8,Yes,Female,No,19,7.6,2.6,0.32,Graduate,25.33333334,14,12,14
6,Journalism and Communication,116.0,19,1,4,4,110.1,Yes,Female,Yes,19,12.4,0.5,1.79,Graduate,24.666666669999998,12,11,18
1,Management,99.0,3,1,3,3,99.7,Yes,Female,No,22,8.9,1.4,3.51,Enrolled,0.0,10,0,15
3,Social Service,135.0,1,12,9,10,121.0,Yes,Female,Yes,19,12.4,0.5,1.79,Graduate,22.833333330000002,12,12,13
3,Nursing,141.0,19,19,9,7,131.7,Yes,Female,Yes,19,15.5,2.8,-4.06,Graduate,25.93625,15,15,21
5,Basic Education,132.0,37,38,5,6,119.1,Yes,Female,Yes,19,9.4,-0.8,-3.12,Graduate,22.8,12,10,19
4,Tourism,132.0,12,19,9,9,124.7,Yes,Female,No,19,7.6,2.6,0.32,Dropout,0.0,10,0,20
1,Tourism,113.0,1,37,9,10,117.2,Yes,Female,No,20,7.6,2.6,0.32,Dropout,22.86666667,12,8,20
1,Management,134.0,3,19,2,10,128.8,No,Female,No,18,13.9,-0.3,0.79,Graduate,27.541666669999998,10,10,19
1,Nursing,136.0,1,19,9,9,131.5,No,Female,Yes,20,11.1,0.6,2.02,Graduate,28.04190476,15,13,17
1,Animation and Multimedia Design,136.0,3,37,2,8,121.7,Yes,Female,No,18,9.4,-0.8,-3.12,Enrolled,0.0,0,0,0
1,Veterinary Nursing,129.0,1,38,4,7,123.4,No,Female,No,19,7.6,2.6,0.32,Graduate,25.8,10,10,12
1,Basic Education,138.0,38,38,7,6,124.7,Yes,Female,No,18,9.4,-0.8,-3.12,Enrolled,23.16666666,12,8,21
1,Basic Education,137.0,37,37,9,9,132.8,Yes,Female,No,18,7.6,2.6,0.32,Graduate,25.13333333,12,11,15
1,Basic Education,115.0,3,37,2,5,108.7,Yes,Female,No,21,9.4,-0.8,-3.12,Dropout,22.666666669999998,12,6,22
1,Basic Education,129.0,38,37,6,6,138.1,No,Female,No,19,7.6,2.6,0.32,Dropout,23.5,12,10,18
1,Management,131.0,38,38,9,9,126.5,No,Female,Yes,18,12.4,0.5,1.79,Graduate,22.4,10,10,10
2,Social Service,133.0,1,37,7,9,127.4,Yes,Female,Yes,18,12.7,3.7,-1.7,Graduate,24.10714286,12,12,15
3,Social Service,125.0,19,1,9,10,123.6,Yes,Female,No,20,9.4,-0.8,-3.12,Graduate,22.833333330000002,12,10,19
1,Social Service (evening attendance),120.0,1,19,6,8,122.0,No,Female,Yes,24,11.1,0.6,2.02,Graduate,23.6,12,10,20
1,Advertising and Marketing Management,128.0,19,1,4,1,118.2,No,Female,No,19,10.8,1.4,1.74,Dropout,26.166666669999998,12,12,15
1,Nursing,127.0,19,37,9,7,123.9,Yes,Female,Yes,18,15.5,2.8,-4.06,Graduate,25.61666667,15,14,21
2,Nursing,134.0,19,19,9,9,125.8,Yes,Female,No,18,15.5,2.8,-4.06,Graduate,30.27375,15,15,16
5,Basic Education,132.0,12,12,4,4,123.3,Yes,Female,No,21,10.8,1.4,1.74,Dropout,22.5,12,7,23
2,Advertising and Marketing Management,124.0,1,19,5,4,124.4,No,Female,No,19,7.6,2.6,0.32,Graduate,28.4,10,10,10
1,Journalism and Communication,133.1,19,37,7,7,126.0,No,Female,Yes,19,15.5,2.8,-4.06,Graduate,25.5,12,12,13
1,Agronomy,170.0,1,37,6,6,170.0,No,Female,No,47,8.9,1.4,3.51,Enrolled,0.0,7,0,1
3,Social Service,125.0,19,19,7,8,121.5,No,Female,No,19,13.9,-0.3,0.79,Graduate,22.666666669999998,12,9,22
1,Nursing,130.0,2,2,1,1,130.0,No,Female,No,29,12.7,3.7,-1.7,Graduate,28.51428572,16,14,16
1,Social Service,125.0,19,19,4,8,117.0,Yes,Female,No,21,16.2,0.3,-0.92,Dropout,23.333333330000002,12,5,25
1,Veterinary Nursing,130.0,37,19,9,7,130.0,Yes,Female,No,28,12.7,3.7,-1.7,Enrolled,21.75,10,8,24
2,Oral Hygiene,133.1,37,37,3,10,108.0,No,Female,No,20,15.5,2.8,-4.06,Graduate,26.019642859999998,15,15,16
1,Nursing,131.0,2,38,4,5,132.3,Yes,Female,No,19,7.6,2.6,0.32,Graduate,23.36666666,14,12,14
1,Social Service (evening attendance),150.0,19,2,4,6,148.0,No,Female,No,26,9.4,-0.8,-3.12,Graduate,23.666666669999998,12,8,18
2,Tourism,125.0,37,37,9,8,122.6,Yes,Female,No,20,11.1,0.6,2.02,Dropout,24.916666669999998,12,10,14
1,Advertising and Marketing Management,131.0,37,37,9,9,123.0,Yes,Female,Yes,18,7.6,2.6,0.32,Enrolled,25.166666669999998,10,7,12
1,Basic Education,130.0,37,19,9,5,102.5,No,Female,No,27,7.6,2.6,0.32,Graduate,25.2,12,10,19
2,Nursing,123.0,34,34,90,90,113.3,Yes,Female,No,20,7.6,2.6,0.32,Dropout,23.9,14,8,16
5,Basic Education,141.0,37,19,9,5,133.0,Yes,Female,No,18,9.4,-0.8,-3.12,Dropout,22.8,12,10,20
1,Nursing,140.0,1,1,9,5,140.0,No,Female,No,33,16.2,0.3,-0.92,Dropout,28.93333333,15,12,18
1,Basic Education,140.0,3,1,3,3,128.3,Yes,Female,No,35,12.4,0.5,1.79,Graduate,25.4085213,40,40,40
1,Management (evening attendance),140.0,37,19,9,8,140.0,No,Female,Yes,26,9.4,-0.8,-3.12,Enrolled,25.83333334,12,12,14
1,Journalism and Communication,133.1,19,19,3,4,104.0,No,Female,No,27,11.1,0.6,2.02,Dropout,12.0,12,5,12
3,Communication Design,131.0,1,37,5,5,122.3,Yes,Female,No,19,15.5,2.8,-4.06,Dropout,12.16666667,12,6,12
2,Tourism,143.0,1,19,4,6,135.0,No,Female,No,20,11.1,0.6,2.02,Dropout,0.0,12,0,0
2,Management,132.0,3,3,5,7,119.1,Yes,Female,No,20,10.8,1.4,1.74,Dropout,20.571428570000002,10,6,18
1,Social Service,143.0,1,37,5,9,126.6,No,Female,No,21,9.4,-0.8,-3.12,Enrolled,21.5,16,12,30
3,Nursing,141.0,38,1,9,4,129.0,Yes,Female,Yes,18,7.6,2.6,0.32,Graduate,26.1,14,12,14
1,Veterinary Nursing,133.1,1,19,9,9,162.3,Yes,Female,No,24,8.9,1.4,3.51,Dropout,11.0,12,2,16
4,Communication Design,148.0,1,3,4,1,163.4,Yes,Female,No,20,16.2,0.3,-0.92,Graduate,23.5,12,12,13
1,Tourism,125.0,19,38,9,8,121.5,No,Female,Yes,21,13.9,-0.3,0.79,Graduate,24.5,12,12,13
1,Social Service (evening attendance),120.0,1,37,7,3,122.8,No,Female,No,23,9.4,-0.8,-3.12,Enrolled,20.0,11,3,25
1,Management,140.0,12,3,4,3,118.0,Yes,Female,No,24,7.6,2.6,0.32,Dropout,0.0,10,0,10
1,Basic Education,139.0,1,1,4,10,134.0,No,Female,No,21,12.4,0.5,1.79,Dropout,0.0,12,0,0
4,Nursing,142.0,38,38,9,8,129.8,Yes,Female,No,18,12.7,3.7,-1.7,Graduate,24.48571428,16,14,16
1,Management (evening attendance),130.0,19,1,3,4,152.0,Yes,Female,No,27,8.9,1.4,3.51,Dropout,0.0,10,0,0
6,Nursing,126.0,37,37,5,5,122.8,Yes,Female,No,18,9.4,-0.8,-3.12,Graduate,25.8675,16,16,16
1,Informatics Engineering,150.0,3,2,2,2,150.0,No,Female,No,35,13.9,-0.3,0.79,Dropout,0.0,10,0,0
1,Basic Education,130.0,19,19,3,8,131.8,No,Female,No,18,11.1,0.6,2.02,Graduate,27.0,14,14,17
1,Nursing,120.0,1,3,175,121,105.9,No,Female,No,35,11.1,0.6,2.02,Enrolled,23.15,6,6,7
1,Veterinary Nursing,138.0,1,1,4,7,132.1,Yes,Female,No,19,10.8,1.4,1.74,Graduate,28.083333330000002,10,8,22
4,Social Service,127.0,19,19,4,0,127.4,Yes,Female,No,20,7.6,2.6,0.32,Graduate,22.5,12,12,14
4,Nursing,140.0,19,19,7,7,129.5,Yes,Female,No,18,10.8,1.4,1.74,Graduate,24.64857142,16,14,16
1,Social Service,130.0,38,38,5,10,126.7,No,Female,No,21,13.9,-0.3,0.79,Graduate,23.88095238,12,12,13
2,Social Service,128.0,19,37,9,8,116.5,No,Female,Yes,18,16.2,0.3,-0.92,Graduate,22.39285714,12,9,22
1,Social Service,132.0,34,34,0,0,119.1,Yes,Female,No,18,7.6,2.6,0.32,Graduate,21.75,12,8,18
2,Nursing,149.0,19,38,9,9,126.5,Yes,Female,No,18,12.7,3.7,-1.7,Graduate,25.82857142,16,14,16
4,Journalism and Communication,155.0,3,19,1,4,149.8,Yes,Female,Yes,18,16.2,0.3,-0.92,Graduate,28.0,12,12,12
1,Veterinary Nursing,120.0,19,1,8,7,115.1,Yes,Female,No,19,13.9,-0.3,0.79,Graduate,27.257142860000002,12,11,17
1,Tourism,133.1,3,19,2,3,124.5,No,Female,Yes,36,16.2,0.3,-0.92,Dropout,26.514285710000003,12,11,13
2,Nursing,131.0,38,1,7,4,128.3,Yes,Female,Yes,18,12.7,3.7,-1.7,Graduate,25.28571428,16,14,16
